sample_id,seed,split
sample_000468,20261451,test
sample_000469,20261452,train
sample_000470,20261453,train
sample_000471,20261454,train
sample_000472,20261455,train
sample_000473,20261456,train
sample_000474,20261457,train
sample_000475,20261458,train
sample_000476,20261459,train
sample_000477,20261460,train
sample_000478,20261461,train
sample_000479,20261462,train
sample_000480,20261463,train
sample_000481,20261464,test
sample_000482,20261465,test
sample_000483,20261466,train
sample_000484,20261467,train
sample_000485,20261468,train
sample_000486,20261469,test
sample_000487,20261470,train
sample_000488,20261471,train
sample_000489,20261472,train
sample_000490,20261473,train
sample_000491,20261474,train
sample_000492,20261475,train
sample_000493,20261476,test
sample_000494,20261477,train
sample_000495,20261478,test
sample_000496,20261479,train
sample_000497,20261480,train
sample_000498,20261481,train
sample_000499,20261482,train
sample_000500,20261483,test
sample_000501,20261484,test
sample_000502,20261485,train
sample_000503,20261486,train
sample_000504,20261487,train
sample_000505,20261488,train
sample_000506,20261489,train
sample_000507,20261490,train
sample_000508,20261491,train
sample_000509,20261492,train
sample_000510,20261493,train
sample_000511,20261494,train
sample_000512,20261495,train
sample_000513,20261496,train
sample_000514,20261497,test
sample_000515,20261498,train
sample_000516,20261499,test
sample_000517,20261500,train
sample_000518,20261501,train
sample_000519,20261502,test
sample_000520,20261503,train
sample_000521,20261504,train
sample_000522,20261505,train
sample_000523,20261506,test
sample_000524,20261507,train
sample_000525,20261508,test
sample_000526,20261509,test
sample_000527,20261510,test
sample_000528,20261511,test
sample_000529,20261512,test
sample_000530,20261513,train
sample_000531,20261514,test
sample_000532,20261515,train
sample_000533,20261516,train
sample_000534,20261517,train
sample_000535,20261518,train
sample_000536,20261519,test
sample_000537,20261520,train
sample_000538,20261521,train
sample_000539,20261522,train
sample_000540,20261523,train
sample_000541,20261524,test
sample_000542,20261525,test
sample_000543,20261526,train
sample_000544,20261527,test
sample_000545,20261528,train
sample_000546,20261529,train
sample_000547,20261530,train
sample_000548,20261531,test
sample_000549,20261532,train
sample_000550,20261533,train
sample_000551,20261534,test
sample_000552,20261535,train
sample_000553,20261536,train
sample_000554,20261537,train
sample_000555,20261538,train
sample_000556,20261539,train
sample_000557,20261540,test
sample_000558,20261541,test
sample_000559,20261542,train
sample_000560,20261543,train
sample_000561,20261544,train
sample_000562,20261545,train
sample_000563,20261546,train
sample_000564,20261547,train
sample_000565,20261548,train
sample_000566,20261549,train
sample_000567,20261550,train
sample_000568,20261551,train
sample_000569,20261552,train
sample_000570,20261553,train
sample_000571,20261554,train
sample_000572,20261555,train
sample_000573,20261556,train
sample_000574,20261557,train
sample_000575,20261558,train
sample_000576,20261559,test
sample_000577,20261560,train
sample_000578,20261561,test
sample_000579,20261562,train
sample_000580,20261563,train
sample_000581,20261564,train
sample_000582,20261565,train
sample_000583,20261566,train
sample_000584,20261567,train
sample_000585,20261568,train
sample_000586,20261569,train
sample_000587,20261570,train
sample_000588,20261571,train
sample_000589,20261572,train
sample_000590,20261573,train
sample_000591,20261574,train
sample_000592,20261575,train
sample_000593,20261576,test
sample_000594,20261577,test
sample_000595,20261578,train
sample_000596,20261579,test
sample_000597,20261580,train
sample_000598,20261581,test
sample_000599,20261582,test
sample_000600,20261583,train
sample_000601,20261584,train
sample_000602,20261585,train
sample_000603,20261586,train
sample_000604,20261587,test
sample_000605,20261588,test
sample_000606,20261589,train
sample_000607,20261590,train
sample_000608,20261591,train
sample_000609,20261592,train
sample_000610,20261593,train
sample_000611,20261594,test
sample_000612,20261595,train
sample_000613,20261596,train
sample_000614,20261597,train
sample_000615,20261598,train
sample_000616,20261599,train
sample_000617,20261600,train
sample_000618,20261601,test
sample_000619,20261602,train
sample_000620,20261603,train
sample_000621,20261604,test
sample_000622,20261605,train
sample_000623,20261606,train
sample_000624,20261607,train
sample_000625,20261608,test
sample_000626,20261609,train
sample_000627,20261610,train
sample_000628,20261611,test
sample_000629,20261612,train
sample_000630,20261613,test
sample_000631,20261614,train
sample_000632,20261615,train
sample_000633,20261616,train
sample_000634,20261617,train
sample_000635,20261618,train
sample_000636,20261619,train
sample_000637,20261620,train
sample_000638,20261621,train
sample_000639,20261622,train
sample_000640,20261623,train
sample_000641,20261624,train
sample_000642,20261625,train
sample_000643,20261626,train
sample_000644,20261627,train
sample_000645,20261628,train
sample_000646,20261629,train
sample_000647,20261630,train
sample_000648,20261631,train
sample_000649,20261632,test
sample_000650,20261633,train
sample_000651,20261634,train
sample_000652,20261635,train
sample_000653,20261636,train
sample_000654,20261637,train
sample_000655,20261638,test
sample_000656,20261639,test
sample_000657,20261640,train
sample_000658,20261641,train
sample_000659,20261642,train
sample_000660,20261643,train
sample_000661,20261644,train
sample_000662,20261645,train
sample_000663,20261646,train
sample_000664,20261647,test
sample_000665,20261648,train
sample_000666,20261649,train
sample_000667,20261650,train
sample_000668,20261651,train
sample_000669,20261652,train
sample_000670,20261653,train
sample_000671,20261654,train
sample_000672,20261655,train
sample_000673,20261656,train
sample_000674,20261657,train
sample_000675,20261658,train
sample_000676,20261659,train
sample_000677,20261660,train
sample_000678,20261661,train
sample_000679,20261662,train
sample_000680,20261663,train
sample_000681,20261664,train
sample_000682,20261665,test
sample_000683,20261666,train
sample_000684,20261667,train
sample_000685,20261668,train
sample_000686,20261669,train
sample_000687,20261670,train
sample_000688,20261671,train
sample_000689,20261672,train
sample_000690,20261673,train
sample_000691,20261674,train
sample_000692,20261675,train
sample_000693,20261676,train
sample_000694,20261677,test
sample_000695,20261678,train
sample_000696,20261679,train
sample_000697,20261680,train
sample_000698,20261681,train
sample_000699,20261682,train
sample_000700,20261683,train
sample_000701,20261684,train
sample_000702,20261685,train
sample_000703,20261686,train
sample_000704,20261687,train
sample_000705,20261688,test
sample_000706,20261689,train
sample_000707,20261690,train
sample_000708,20261691,train
sample_000709,20261692,train
sample_000710,20261693,train
sample_000711,20261694,train
sample_000712,20261695,train
sample_000713,20261696,train
sample_000714,20261697,train
sample_000715,20261698,train
sample_000716,20261699,train
sample_000717,20261700,train
sample_000718,20261701,test
sample_000719,20261702,train
sample_000720,20261703,train
sample_000721,20261704,test
sample_000722,20261705,train
sample_000723,20261706,train
sample_000724,20261707,train
sample_000725,20261708,train
sample_000726,20261709,train
sample_000727,20261710,train
sample_000728,20261711,train
sample_000729,20261712,train
sample_000730,20261713,train
sample_000731,20261714,train
sample_000732,20261715,test
sample_000733,20261716,train
sample_000734,20261717,test
sample_000735,20261718,train
sample_000736,20261719,test
sample_000737,20261720,test
sample_000738,20261721,train
sample_000739,20261722,test
sample_000740,20261723,test
sample_000741,20261724,train
sample_000742,20261725,train
sample_000743,20261726,test
sample_000744,20261727,train
sample_000745,20261728,test
sample_000746,20261729,test
sample_000747,20261730,train
sample_000748,20261731,train
sample_000749,20261732,train
sample_000750,20261733,train
sample_000751,20261734,train
sample_000752,20261735,train
sample_000753,20261736,train
sample_000754,20261737,test
sample_000755,20261738,train
sample_000756,20261739,train
sample_000757,20261740,train
sample_000758,20261741,test
sample_000759,20261742,train
sample_000760,20261743,train
sample_000761,20261744,train
sample_000762,20261745,train
sample_000763,20261746,train
sample_000764,20261747,train
sample_000765,20261748,train
sample_000766,20261749,train
sample_000767,20261750,train
sample_000768,20261751,train
sample_000769,20261752,train
sample_000770,20261753,train
sample_000771,20261754,train
sample_000772,20261755,train
sample_000773,20261756,train
sample_000774,20261757,test
sample_000775,20261758,train
sample_000776,20261759,train
sample_000777,20261760,train
sample_000778,20261761,train
sample_000779,20261762,train
sample_000780,20261763,train
sample_000781,20261764,train
sample_000782,20261765,train
sample_000783,20261766,train
sample_000784,20261767,train
sample_000785,20261768,train
sample_000786,20261769,train
sample_000787,20261770,train
sample_000788,20261771,test
sample_000789,20261772,train
sample_000790,20261773,train
sample_000791,20261774,train
sample_000792,20261775,test
sample_000793,20261776,train
sample_000794,20261777,train
sample_000795,20261778,train
sample_000796,20261779,train
sample_000797,20261780,train
sample_000798,20261781,train
sample_000799,20261782,train
sample_000800,20261783,train
sample_000801,20261784,train
sample_000802,20261785,train
sample_000803,20261786,train
sample_000804,20261787,train
sample_000805,20261788,train
sample_000806,20261789,test
sample_000807,20261790,test
sample_000808,20261791,train
sample_000809,20261792,train
sample_000810,20261793,train
sample_000811,20261794,test
sample_000812,20261795,train
sample_000813,20261796,train
sample_000814,20261797,train
sample_000815,20261798,train
sample_000816,20261799,test
sample_000817,20261800,test
sample_000818,20261801,train
sample_000819,20261802,train
sample_000820,20261803,train
sample_000821,20261804,train
sample_000822,20261805,train
sample_000823,20261806,train
sample_000824,20261807,train
sample_000825,20261808,train
sample_000826,20261809,train
sample_000827,20261810,test
sample_000828,20261811,train
sample_000829,20261812,train
sample_000830,20261813,test
sample_000831,20261814,train
sample_000832,20261815,test
sample_000833,20261816,train
sample_000834,20261817,train
sample_000835,20261818,test
sample_000836,20261819,train
sample_000837,20261820,train
sample_000838,20261821,train
sample_000839,20261822,train
sample_000840,20261823,train
sample_000841,20261824,test
sample_000842,20261825,test
sample_000843,20261826,train
sample_000844,20261827,train
sample_000845,20261828,train
sample_000846,20261829,train
sample_000847,20261830,train
sample_000848,20261831,train
sample_000849,20261832,train
sample_000850,20261833,train
sample_000851,20261834,train
sample_000852,20261835,train
sample_000853,20261836,train
sample_000854,20261837,train
sample_000855,20261838,test
sample_000856,20261839,train
sample_000857,20261840,test
sample_000858,20261841,train
sample_000859,20261842,train
sample_000860,20261843,train
sample_000861,20261844,train
sample_000862,20261845,train
sample_000863,20261846,train
sample_000864,20261847,train
sample_000865,20261848,train
sample_000866,20261849,train
sample_000867,20261850,train
sample_000868,20261851,train
sample_000869,20261852,train
sample_000870,20261853,train
sample_000871,20261854,train
sample_000872,20261855,train
sample_000873,20261856,test
sample_000874,20261857,train
sample_000875,20261858,train
sample_000876,20261859,test
sample_000877,20261860,test
sample_000878,20261861,train
sample_000879,20261862,train
sample_000880,20261863,train
sample_000881,20261864,train
sample_000882,20261865,train
sample_000883,20261866,train
sample_000884,20261867,train
sample_000885,20261868,test
sample_000886,20261869,train
sample_000887,20261870,train
sample_000888,20261871,train
sample_000889,20261872,test
sample_000890,20261873,train
sample_000891,20261874,train
sample_000892,20261875,train
sample_000893,20261876,train
sample_000894,20261877,test
sample_000895,20261878,train
sample_000896,20261879,train
sample_000897,20261880,train
sample_000898,20261881,train
sample_000899,20261882,test
sample_000900,20261883,test
sample_000901,20261884,train
sample_000902,20261885,test
sample_000903,20261886,train
sample_000904,20261887,train
sample_000905,20261888,test
sample_000906,20261889,train
sample_000907,20261890,train
sample_000908,20261891,test
sample_000909,20261892,train
sample_000910,20261893,train
sample_000911,20261894,train
sample_000912,20261895,train
sample_000913,20261896,train
sample_000914,20261897,test
sample_000915,20261898,train
sample_000916,20261899,test
sample_000917,20261900,test
sample_000918,20261901,train
sample_000919,20261902,train
sample_000920,20261903,train
sample_000921,20261904,train
sample_000922,20261905,test
sample_000923,20261906,train
sample_000924,20261907,train
sample_000925,20261908,train
sample_000926,20261909,train
sample_000927,20261910,train
sample_000928,20261911,train
sample_000929,20261912,train
sample_000930,20261913,test
sample_000931,20261914,test
sample_000932,20261915,train
sample_000933,20261916,train
sample_000934,20261917,train
sample_000935,20261918,test
sample_000936,20261919,train
sample_000937,20261920,train
sample_000938,20261921,test
sample_000939,20261922,train
sample_000940,20261923,train
sample_000941,20261924,test
sample_000942,20261925,train
sample_000943,20261926,train
sample_000944,20261927,test
sample_000945,20261928,train
sample_000946,20261929,train
sample_000947,20261930,test
sample_000948,20261931,train
sample_000949,20261932,test
sample_000950,20261933,train
sample_000951,20261934,train
sample_000952,20261935,train
sample_000953,20261936,train
sample_000954,20261937,test
sample_000955,20261938,train
sample_000956,20261939,train
sample_000957,20261940,train
sample_000958,20261941,train
sample_000959,20261942,train
sample_000960,20261943,train
sample_000961,20261944,train
sample_000962,20261945,test
sample_000963,20261946,test
sample_000964,20261947,train
sample_000965,20261948,train
sample_000966,20261949,train
sample_000967,20261950,test
sample_000968,20261951,train
sample_000969,20261952,train
sample_000970,20261953,train
sample_000971,20261954,train
sample_000972,20261955,train
sample_000973,20261956,train
sample_000974,20261957,train
sample_000975,20261958,train
sample_000976,20261959,train
sample_000977,20261960,train
sample_000978,20261961,train
sample_000979,20261962,train
sample_000980,20261963,train
sample_000981,20261964,test
sample_000982,20261965,test
sample_000983,20261966,train
sample_000984,20261967,train
sample_000985,20261968,train
sample_000986,20261969,train
sample_000987,20261970,train
sample_000988,20261971,train
sample_000989,20261972,train
sample_000990,20261973,train
sample_000991,20261974,train
sample_000992,20261975,train
sample_000993,20261976,test
sample_000994,20261977,train
sample_000995,20261978,train
sample_000996,20261979,train
sample_000997,20261980,train
sample_000998,20261981,train
sample_000999,20261982,train
sample_001000,20261983,train
sample_001001,20261984,train
sample_001002,20261985,train
sample_001003,20261986,test
sample_001004,20261987,train
sample_001005,20261988,train
sample_001006,20261989,train
sample_001007,20261990,train
